Date,Open,High,Low,Close,Adj Close,Volume
2011-07-13,57.142918,57.550488,56.373062,56.803276,56.803276,399200
2011-07-14,56.856110,57.988251,55.708874,55.957943,55.957943,378700
2011-07-15,56.093800,56.576847,55.248470,56.025871,56.025871,402000
2011-07-18,55.746613,56.757992,54.727684,55.625851,55.625851,334400
2011-07-19,56.456085,57.693893,55.505089,57.278774,57.278774,451900
2011-07-20,57.158012,57.958061,55.867374,55.942848,55.942848,289700
2011-07-21,56.123993,57.663704,56.123993,57.074989,57.074989,267400
2011-07-22,57.112728,57.542942,56.607037,57.437275,57.437275,186400
2011-07-25,57.339157,57.407085,56.259850,56.335323,56.335323,376000
2011-07-26,56.335323,56.848560,54.486160,54.501255,54.501255,554300
2011-07-27,54.478615,54.901279,53.308735,53.444592,53.444592,615600
2011-07-28,53.399307,54.312565,52.584164,52.735115,52.735115,700900
2011-07-29,52.425663,53.142689,52.078476,52.584164,52.584164,666100
2011-08-01,53.014378,53.210617,52.086021,52.727570,52.727570,614300
2011-08-02,52.991734,53.361568,51.270882,51.384094,51.384094,804100
2011-08-03,51.414288,51.686001,50.206669,50.833118,50.833118,557000
2011-08-04,50.236858,50.931240,49.648148,50.470837,50.470837,924300
2011-08-05,50.976524,51.595428,49.331146,50.568954,50.568954,839700
2011-08-08,49.927406,50.840668,44.115753,44.213871,44.213871,1991600
2011-08-09,44.606346,48.833004,44.213871,48.833004,48.833004,1463800
2011-08-10,48.485813,49.685883,44.712013,44.855415,44.855415,1096400
2011-08-11,45.625271,48.048054,45.398846,47.036674,47.036674,830800
2011-08-12,47.270649,47.972576,45.406391,45.851700,45.851700,654000
2011-08-15,46.130962,46.885723,45.572441,46.764961,46.764961,506100
2011-08-16,46.832890,47.980125,46.047939,46.621555,46.621555,464300
2011-08-17,46.621555,48.002769,44.410107,45.391296,45.391296,696400
2011-08-18,42.349613,43.376087,41.443901,41.685421,41.685421,2047300
2011-08-19,41.443901,41.942043,39.292831,39.662666,39.662666,1652200
2011-08-22,40.553284,40.870281,39.292831,39.421143,39.421143,978200
2011-08-23,39.519260,41.323139,39.451332,41.323139,41.323139,855700
2011-08-24,41.308044,42.908134,40.930664,41.836376,41.836376,831500
2011-08-25,41.753353,42.409992,40.628757,41.021233,41.021233,621400
2011-08-26,40.802353,42.206207,40.092876,42.017517,42.017517,687500
2011-08-29,42.432636,45.134678,42.357159,45.044106,45.044106,860200
2011-08-30,44.961082,45.640369,44.266705,45.202606,45.202606,701000
2011-08-31,45.519608,46.221535,44.734653,45.202606,45.202606,524500
2011-09-01,45.376202,46.161152,44.040276,44.191227,44.191227,584500
2011-09-02,44.115753,44.115753,41.141994,41.149544,41.149544,695900
2011-09-06,39.873997,40.726875,39.496616,40.606113,40.606113,782100
2011-09-07,41.021233,42.523209,40.945759,42.198662,42.198662,531800
2011-09-08,41.775993,42.198662,40.953304,41.081615,41.081615,555100
2011-09-09,40.696686,41.043877,39.911736,40.432522,40.432522,773200
2011-09-12,39.745689,41.760899,39.715496,40.938210,40.938210,574900
2011-09-13,41.089161,42.304325,40.711781,41.564663,41.564663,586100
2011-09-14,41.896755,44.583702,41.557114,44.138393,44.138393,757300
2011-09-15,44.651630,47.489532,44.545963,46.976295,46.976295,1039200
2011-09-16,47.210270,47.708412,45.549797,46.093224,46.093224,2239900
2011-09-19,45.436584,46.297009,44.108204,44.719559,44.719559,991400
2011-09-20,45.104488,45.187511,43.942158,44.062920,44.062920,756600
2011-09-21,44.017632,45.112034,41.617493,41.692970,41.692970,688200
2011-09-22,40.387234,41.496735,38.598454,39.277737,39.277737,976700
2011-09-23,39.021118,40.281567,38.870167,39.662666,39.662666,614300
2011-09-26,40.047592,41.323139,38.870167,40.734425,40.734425,592900
2011-09-27,41.670326,46.689484,41.315590,43.406277,43.406277,1316300
2011-09-28,44.025181,44.432751,42.206207,42.236397,42.236397,443400
2011-09-29,43.202492,43.459110,41.323139,43.300610,43.300610,535600
2011-09-30,42.394897,44.364822,42.394897,43.413826,43.413826,621800
2011-10-03,42.847755,44.002537,41.519375,43.210037,43.210037,847300
2011-10-04,42.334518,48.666958,42.334518,48.259388,48.259388,1246700
2011-10-05,47.874458,47.919746,45.232796,46.712128,46.712128,907100
2011-10-06,46.349842,49.051884,46.191341,47.934841,47.934841,592500
2011-10-07,48.402790,49.059433,46.440414,46.885723,46.885723,525500
2011-10-10,47.972576,49.663242,47.398960,48.983955,48.983955,519800
2011-10-11,49.014149,50.636883,48.455624,50.538765,50.538765,614200
2011-10-12,51.285976,56.078705,50.380264,52.916260,52.916260,1544200
2011-10-13,52.742664,53.957829,52.282261,52.493595,52.493595,573900
2011-10-14,53.467236,53.995567,52.002998,53.995567,53.995567,452700
2011-10-17,54.252186,55.806992,53.565353,54.757874,54.757874,713600
2011-10-18,54.795612,56.969322,54.606922,56.184372,56.184372,1327500
2011-10-19,56.357967,57.678799,55.814541,56.380611,56.380611,663300
2011-10-20,57.059895,57.988251,54.984303,55.429611,55.429611,813400
2011-10-21,56.365513,56.697609,54.954113,56.569302,56.569302,859200
2011-10-24,56.622135,56.924038,55.331493,56.524014,56.524014,606400
2011-10-25,56.388157,57.361797,55.369232,56.524014,56.524014,1163300
2011-10-26,56.742893,58.697723,56.169277,58.244869,58.244869,911000
2011-10-27,59.135487,62.833813,58.584511,62.214909,62.214909,1185700
2011-10-28,61.633743,62.041313,58.267509,59.392105,59.392105,881700
2011-10-31,58.818485,60.260078,58.267509,59.007175,59.007175,537000
2011-11-01,57.693893,59.724197,56.984417,58.893963,58.893963,581000
2011-11-02,58.810940,60.660103,58.229774,59.935532,59.935532,606500
2011-11-03,59.686462,59.927986,58.267509,59.769485,59.769485,470200
2011-11-04,59.331722,59.890247,56.984417,58.984535,58.984535,438100
2011-11-07,59.143032,59.143032,56.229656,57.859940,57.859940,636900
2011-11-08,58.109013,59.777031,57.029705,58.576962,58.576962,744100
2011-11-09,57.339157,57.995796,54.720139,55.135254,55.135254,584900
2011-11-10,55.995682,55.995682,54.410686,54.946564,54.946564,353400
2011-11-11,55.693779,56.448540,54.697495,56.108894,56.108894,397100
2011-11-14,55.739063,56.463634,53.376663,54.531448,54.531448,770100
2011-11-15,53.595543,54.055946,51.127476,52.855877,52.855877,1391700
2011-11-16,52.742664,53.580448,51.323715,51.550144,51.550144,1252500
2011-11-17,48.682053,50.380264,46.870628,49.202839,49.202839,3082400
2011-11-18,48.674503,49.399075,47.444244,48.508457,48.508457,1974300
2011-11-21,48.380150,49.059433,47.232914,48.334862,48.334862,1239000
2011-11-22,48.214100,48.863194,46.485699,46.968746,46.968746,1034100
2011-11-23,46.795151,47.648029,44.636536,44.644085,44.644085,955400
2011-11-25,44.545963,45.406391,43.994991,44.078014,44.078014,445700
2011-11-28,45.685654,46.591366,42.862850,43.647800,43.647800,1527500
2011-11-29,43.859135,44.191227,42.689255,43.383633,43.383633,845400
2011-11-30,44.462940,45.866795,43.753468,45.534702,45.534702,1005900
2011-12-01,44.832775,44.900703,43.021347,43.383633,43.383633,1184600
2011-12-02,43.806301,45.240345,43.753468,44.198776,44.198776,649700
2011-12-05,44.583702,45.240345,44.010086,44.757298,44.757298,528100
2011-12-06,44.591251,45.610176,44.047825,45.278084,45.278084,634900
2011-12-07,44.832775,46.176247,44.493134,45.655464,45.655464,709200
2011-12-08,45.096939,45.451679,43.911968,44.032726,44.032726,822700
2011-12-09,41.474091,43.549683,41.451447,42.991158,42.991158,1486200
2011-12-12,42.266590,42.991158,41.360874,42.726994,42.726994,1308500
2011-12-13,43.111919,43.323254,39.813618,40.538185,40.538185,1362400
2011-12-14,40.281567,40.281567,37.738026,38.621094,38.621094,1495700
2011-12-15,40.651402,41.119354,37.888977,38.017288,38.017288,1778500
2011-12-16,38.470142,39.096596,34.356697,34.839745,34.839745,3522800
2011-12-19,35.285053,36.303982,33.820820,34.107628,34.107628,2660600
2011-12-20,34.681244,35.405815,33.752892,34.771816,34.771816,1722300
2011-12-21,34.598221,35.262409,33.201916,33.873653,33.873653,1127300
2011-12-22,34.281223,35.609600,33.843460,34.583126,34.583126,1872100
2011-12-23,35.722816,35.722816,34.115173,34.605770,34.605770,1391300
2011-12-27,27.737448,28.605423,25.103334,25.193905,25.193905,12751300
2011-12-28,24.197622,25.888285,24.107050,25.156168,25.156168,6599700
2011-12-29,25.352406,25.639214,24.627836,24.831621,24.831621,2058300
2011-12-30,24.386312,24.793882,23.971193,23.986288,23.986288,2191800
2012-01-03,24.446693,24.793882,23.586266,23.722122,23.722122,3166500
2012-01-04,23.774956,24.288193,23.201338,23.246624,23.246624,2536100
2012-01-05,23.148504,23.397575,21.805031,22.733387,22.733387,4346200
2012-01-06,22.627720,22.854149,21.910698,22.039007,22.039007,2316000
2012-01-09,22.318268,22.605078,21.888054,22.408840,22.408840,2064200
2012-01-10,22.567339,23.359838,22.529602,22.990005,22.990005,2487300
2012-01-11,23.390028,26.152452,23.050386,24.831621,24.831621,4743400
2012-01-12,23.390028,25.707144,23.284361,25.661858,25.661858,5458000
2012-01-13,25.556190,26.605309,25.141073,25.329763,25.329763,2976600
2012-01-17,25.692047,29.284708,25.661858,27.737448,27.737448,7076100
2012-01-18,28.212948,29.963993,27.782734,29.805492,29.805492,4231500
2012-01-19,29.601707,33.133987,29.518684,32.718868,32.718868,6127800
2012-01-20,32.847176,38.621094,32.718868,36.983265,36.983265,8748100
2012-01-23,36.983265,41.330685,35.451099,35.768101,35.768101,11180900
2012-01-24,35.519028,37.292717,34.273674,34.552937,34.552937,5253900
2012-01-25,34.530293,34.877483,32.839630,33.866104,33.866104,4056300
2012-01-26,34.183102,34.718983,33.058510,33.466080,33.466080,1425800
2012-01-27,33.775532,34.401985,32.839630,33.254749,33.254749,1703900
2012-01-30,33.964222,34.258579,32.839630,33.232105,33.232105,1146300
2012-01-31,33.896294,34.001961,31.050848,31.805609,31.805609,2051600
2012-02-01,32.552822,32.983036,31.367847,31.662203,31.662203,1422300
2012-02-02,31.699942,31.933918,31.307467,31.677298,31.677298,952500
2012-02-03,32.024487,34.537842,31.896179,33.617035,33.617035,2783800
2012-02-06,33.292484,33.805721,32.605656,33.624580,33.624580,925500
2012-02-07,33.518913,36.771931,33.337772,35.700172,35.700172,2350000
2012-02-08,36.002075,37.322906,35.088818,36.832314,36.832314,2037300
2012-02-09,36.862503,37.111572,35.775646,36.522861,36.522861,1881600
2012-02-10,36.334171,36.681362,35.722816,35.903957,35.903957,1183400
2012-02-13,36.296432,36.311527,34.869934,35.632244,35.632244,992300
2012-02-14,35.473743,37.134216,35.013340,36.809669,36.809669,1532400
2012-02-15,37.104027,39.994759,36.537956,39.775879,39.775879,2368000
2012-02-16,40.024948,41.655231,38.953190,41.406162,41.406162,3181500
2012-02-17,41.685421,42.825111,40.228737,41.157089,41.157089,2294400
2012-02-21,40.613663,41.058971,38.190880,38.447502,38.447502,2104500
2012-02-22,38.500332,40.190998,38.500332,39.307926,39.307926,1881000
