Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19710614,0,3.6,0,0,40.62,0,35000
19710615,0,3.6,0,0,40.62,0,35000
19710616,0,3.6,0,0,40.62,0,35000
19710617,0,3.6,0,0,40.62,0,35000
19710618,0,3.6,0,0,40.62,0,35000
19710621,0,3.6,0,0,40.62,0,35000
19710622,0,3.6,0,0,40.62,0,35000
19710623,0,3.6,0,0,40.62,0,35000
19710624,0,3.6,0,0,40.62,0,35000
19710625,0,3.6,0,0,40.62,0,35000
19710628,0,3.6,0,0,40.62,0,35000
19710629,0,3.6,0,0,40.62,0,35000
19710630,0,3.6,0,0,40.62,0,35000
19710701,0,3.6,0,0,40.62,0,35000
19710702,0,3.6,0,0,40.62,0,35000
19710706,0,3.6,0,0,40.62,0,35000
19710707,0,3.6,0,0,40.62,0,35000
19710708,0,3.6,0,0,40.62,0,35000
19710709,0,3.6,0,0,40.62,0,35000
19710712,0,3.6,0,0,40.62,0,35000
19710713,0,3.6,0,0,40.62,0,35000
19710714,0,3.6,0,0,40.62,0,35000
19710715,0,3.6,0,0,40.62,0,35000
19710716,0,3.6,0,0,40.62,0,35000
19710719,0,3.6,0,0,40.62,0,35000
19710720,0,3.6,0,0,40.62,0,35000
19710721,0,3.6,0,0,40.62,0,35000
19710722,0,3.6,0,0,40.62,0,35000
19710723,0,3.6,0,0,40.62,0,35000
19710726,0,3.6,0,0,40.62,0,35000
19710727,0,3.6,0,0,40.62,0,35000
19710728,0,3.6,0,0,40.62,0,35000
19710729,0,3.6,0,0,40.62,0,35000
19710730,0,3.6,0,0,40.62,0,35000
19710802,0,3.6,0,0,40.62,0,35000
19710803,0,3.6,0,0,40.62,0,35000
19710804,0,3.6,0,0,40.62,0,35000
19710805,0,3.6,0,0,40.62,0,35000
19710806,0,3.6,0,0,40.62,0,35000
19710809,0,3.6,0,0,40.62,0,35000
19710810,0,3.6,0,0,40.62,0,35000
19710811,0,3.6,0,0,40.62,0,35000
19710812,0,3.6,0,0,40.62,0,35000
